Video: video_talkshow_low.mp4, Time: 29.00 s, BBox: (199, 55), (288, 159)
Video: video_talkshow_low.mp4, Time: 30.00 s, BBox: (156, 45), (243, 155)
Video: video_talkshow_low.mp4, Time: 31.00 s, BBox: (263, 54), (292, 94)
Video: video_talkshow_low.mp4, Time: 31.00 s, BBox: (335, 53), (367, 94)
Video: video_talkshow_low.mp4, Time: 31.00 s, BBox: (61, 60), (92, 106)
Video: video_talkshow_low.mp4, Time: 32.00 s, BBox: (262, 55), (292, 95)
Video: video_talkshow_low.mp4, Time: 32.00 s, BBox: (61, 60), (91, 106)
Video: video_talkshow_low.mp4, Time: 32.00 s, BBox: (328, 61), (363, 101)
Video: video_talkshow_low.mp4, Time: 33.00 s, BBox: (262, 55), (292, 95)
Video: video_talkshow_low.mp4, Time: 33.00 s, BBox: (61, 61), (91, 106)
Video: video_talkshow_low.mp4, Time: 33.00 s, BBox: (341, 53), (362, 91)
Video: video_talkshow_low.mp4, Time: 34.00 s, BBox: (339, 54), (370, 95)
Video: video_talkshow_low.mp4, Time: 34.00 s, BBox: (262, 55), (292, 96)
Video: video_talkshow_low.mp4, Time: 34.00 s, BBox: (62, 61), (92, 107)
Video: video_talkshow_low.mp4, Time: 35.00 s, BBox: (61, 60), (92, 107)
Video: video_talkshow_low.mp4, Time: 35.00 s, BBox: (262, 56), (292, 97)
Video: video_talkshow_low.mp4, Time: 35.00 s, BBox: (338, 55), (371, 96)
Video: video_talkshow_low.mp4, Time: 36.00 s, BBox: (63, 64), (92, 107)
Video: video_talkshow_low.mp4, Time: 36.00 s, BBox: (262, 57), (292, 97)
Video: video_talkshow_low.mp4, Time: 36.00 s, BBox: (337, 56), (370, 96)
Video: video_talkshow_low.mp4, Time: 37.00 s, BBox: (262, 57), (292, 97)
Video: video_talkshow_low.mp4, Time: 37.00 s, BBox: (63, 63), (92, 107)
Video: video_talkshow_low.mp4, Time: 37.00 s, BBox: (340, 58), (360, 94)
Video: video_talkshow_low.mp4, Time: 38.00 s, BBox: (261, 57), (292, 97)
Video: video_talkshow_low.mp4, Time: 38.00 s, BBox: (62, 64), (92, 109)
Video: video_talkshow_low.mp4, Time: 38.00 s, BBox: (333, 62), (352, 98)
Video: video_talkshow_low.mp4, Time: 39.00 s, BBox: (262, 57), (292, 97)
Video: video_talkshow_low.mp4, Time: 39.00 s, BBox: (61, 64), (91, 109)
Video: video_talkshow_low.mp4, Time: 39.00 s, BBox: (335, 59), (359, 97)
Video: video_talkshow_low.mp4, Time: 40.00 s, BBox: (161, 57), (248, 164)
Video: video_talkshow_low.mp4, Time: 41.00 s, BBox: (155, 54), (247, 160)
Video: video_talkshow_low.mp4, Time: 42.00 s, BBox: (157, 54), (247, 159)
Video: video_talkshow_low.mp4, Time: 43.00 s, BBox: (155, 51), (245, 155)
Video: video_talkshow_low.mp4, Time: 44.00 s, BBox: (154, 42), (248, 145)
Video: video_talkshow_low.mp4, Time: 45.00 s, BBox: (155, 58), (247, 163)
Video: video_talkshow_low.mp4, Time: 46.00 s, BBox: (158, 52), (250, 159)
Video: video_talkshow_low.mp4, Time: 47.00 s, BBox: (162, 55), (257, 161)
Video: video_talkshow_low.mp4, Time: 48.00 s, BBox: (167, 53), (261, 157)
Video: video_talkshow_low.mp4, Time: 49.00 s, BBox: (166, 54), (260, 157)
Video: video_talkshow_low.mp4, Time: 50.00 s, BBox: (167, 47), (262, 151)
Video: video_talkshow_low.mp4, Time: 51.00 s, BBox: (161, 48), (257, 154)
Video: video_talkshow_low.mp4, Time: 52.00 s, BBox: (160, 40), (254, 144)
Video: video_talkshow_low.mp4, Time: 53.00 s, BBox: (168, 57), (260, 159)
Video: video_talkshow_low.mp4, Time: 54.00 s, BBox: (166, 51), (261, 155)
Video: video_talkshow_low.mp4, Time: 55.00 s, BBox: (158, 54), (252, 158)
Video: video_talkshow_low.mp4, Time: 56.00 s, BBox: (156, 50), (247, 156)
Video: video_talkshow_low.mp4, Time: 57.00 s, BBox: (158, 50), (249, 158)
Video: video_talkshow_low.mp4, Time: 58.00 s, BBox: (158, 47), (251, 154)
Video: video_talkshow_low.mp4, Time: 59.00 s, BBox: (160, 58), (253, 165)
Video: video_talkshow_low.mp4, Time: 60.00 s, BBox: (156, 52), (247, 159)
Video: video_talkshow_low.mp4, Time: 61.00 s, BBox: (158, 52), (251, 156)
Video: video_talkshow_low.mp4, Time: 62.00 s, BBox: (159, 59), (250, 166)
Video: video_talkshow_low.mp4, Time: 63.00 s, BBox: (149, 54), (236, 157)
Video: video_talkshow_low.mp4, Time: 64.00 s, BBox: (145, 47), (234, 153)
Video: video_talkshow_low.mp4, Time: 65.00 s, BBox: (149, 59), (236, 164)
Video: video_talkshow_low.mp4, Time: 66.00 s, BBox: (144, 54), (236, 158)
Video: video_talkshow_low.mp4, Time: 67.00 s, BBox: (142, 53), (230, 158)
Video: video_talkshow_low.mp4, Time: 68.00 s, BBox: (139, 56), (223, 162)
Video: video_talkshow_low.mp4, Time: 69.00 s, BBox: (142, 56), (235, 164)
Video: video_talkshow_low.mp4, Time: 70.00 s, BBox: (153, 56), (246, 159)
Video: video_talkshow_low.mp4, Time: 71.00 s, BBox: (152, 55), (245, 161)
Video: video_talkshow_low.mp4, Time: 72.00 s, BBox: (150, 51), (243, 155)
Video: video_talkshow_low.mp4, Time: 73.00 s, BBox: (148, 52), (239, 157)
Video: video_talkshow_low.mp4, Time: 74.00 s, BBox: (149, 54), (240, 160)
Video: video_talkshow_low.mp4, Time: 75.00 s, BBox: (145, 49), (237, 153)
Video: video_talkshow_low.mp4, Time: 76.00 s, BBox: (150, 58), (243, 163)
Video: video_talkshow_low.mp4, Time: 77.00 s, BBox: (146, 50), (240, 160)
Video: video_talkshow_low.mp4, Time: 78.00 s, BBox: (148, 45), (242, 149)
Video: video_talkshow_low.mp4, Time: 79.00 s, BBox: (150, 56), (244, 161)
Video: video_talkshow_low.mp4, Time: 80.00 s, BBox: (145, 54), (233, 161)
Video: video_talkshow_low.mp4, Time: 81.00 s, BBox: (152, 55), (238, 163)
Video: video_talkshow_low.mp4, Time: 82.00 s, BBox: (151, 60), (245, 164)
Video: video_talkshow_low.mp4, Time: 83.00 s, BBox: (159, 57), (247, 162)
Video: video_talkshow_low.mp4, Time: 84.00 s, BBox: (153, 56), (237, 158)
Video: video_talkshow_low.mp4, Time: 85.00 s, BBox: (149, 52), (236, 156)
Video: video_talkshow_low.mp4, Time: 86.00 s, BBox: (150, 50), (237, 159)
Video: video_talkshow_low.mp4, Time: 87.00 s, BBox: (152, 49), (238, 155)
Video: video_talkshow_low.mp4, Time: 88.00 s, BBox: (151, 44), (237, 146)
Video: video_talkshow_low.mp4, Time: 89.00 s, BBox: (153, 55), (240, 163)
Video: video_talkshow_low.mp4, Time: 90.00 s, BBox: (158, 58), (243, 169)
Video: video_talkshow_low.mp4, Time: 91.00 s, BBox: (154, 58), (240, 164)
Video: video_talkshow_low.mp4, Time: 92.00 s, BBox: (147, 48), (234, 152)
Video: video_talkshow_low.mp4, Time: 93.00 s, BBox: (144, 49), (236, 150)
Video: video_talkshow_low.mp4, Time: 94.00 s, BBox: (144, 52), (236, 157)
Video: video_talkshow_low.mp4, Time: 95.00 s, BBox: (148, 50), (237, 156)
Video: video_talkshow_low.mp4, Time: 96.00 s, BBox: (146, 45), (238, 155)
